,instrument,datetime,price,position_type,expiry
0,BANKNIFTY2140133700CE,2021-04-01 10:48:00,43.1,Entry,2021-04-01 15:30:00
1,BANKNIFTY2140133100PE,2021-04-01 13:05:00,41.55,Entry,2021-04-01 15:30:00
2,BANKNIFTY2140133700CE,2021-04-01 14:10:00,-95.65,SL,2021-04-01 15:30:00
3,BANKNIFTY2140133100PE,2021-04-01 15:20:00,-0.25,Time,2021-04-01 15:30:00
4,BANKNIFTY2140833500CE,2021-04-08 09:51:00,44.6,Entry,2021-04-08 15:30:00
5,BANKNIFTY2140833500CE,2021-04-08 15:20:00,-0.15,Time,2021-04-08 15:30:00
6,BANKNIFTY2141532200CE,2021-04-15 09:35:00,49.75,Entry,2021-04-15 15:30:00
7,BANKNIFTY2141531800PE,2021-04-15 14:05:00,49.6,Entry,2021-04-15 15:30:00
8,BANKNIFTY2141532200CE,2021-04-15 15:20:00,-0.35,Time,2021-04-15 15:30:00
9,BANKNIFTY2141531800PE,2021-04-15 15:20:00,-0.2,Time,2021-04-15 15:30:00
10,BANKNIFTY2142230500PE,2021-04-22 11:30:00,49.15,Entry,2021-04-22 15:30:00
11,BANKNIFTY2142230500PE,2021-04-22 15:20:00,-0.1,Time,2021-04-22 15:30:00
12,BANKNIFTY21APR34500CE,2021-04-29 09:48:00,36.6,Entry,2021-04-29 15:30:00
13,BANKNIFTY21APR34500CE,2021-04-29 15:20:00,-0.05,Time,2021-04-29 15:30:00
14,BANKNIFTY2150633000CE,2021-05-06 11:14:00,46.75,Entry,2021-05-06 15:30:00
15,BANKNIFTY2150632500PE,2021-05-06 12:20:00,50.75,Entry,2021-05-06 15:30:00
16,BANKNIFTY2150633000CE,2021-05-06 15:20:00,-0.15,Time,2021-05-06 15:30:00
17,BANKNIFTY2150632500PE,2021-05-06 15:20:00,-0.1,Time,2021-05-06 15:30:00
18,BANKNIFTY2151232800CE,2021-05-12 11:10:00,37.75,Entry,2021-05-12 15:30:00
19,BANKNIFTY2151232500PE,2021-05-12 12:26:00,48.65,Entry,2021-05-12 15:30:00
20,BANKNIFTY2151232500PE,2021-05-12 14:59:00,-100.0,SL,2021-05-12 15:30:00
21,BANKNIFTY2151232800CE,2021-05-12 15:20:00,-0.25,Time,2021-05-12 15:30:00
22,BANKNIFTY2152033500PE,2021-05-20 10:16:00,42.5,Entry,2021-05-20 15:30:00
23,BANKNIFTY2152033800CE,2021-05-20 12:29:00,44.0,Entry,2021-05-20 15:30:00
24,BANKNIFTY2152033500PE,2021-05-20 14:49:00,-86.9,SL,2021-05-20 15:30:00
25,BANKNIFTY2152033800CE,2021-05-20 15:20:00,-0.2,Time,2021-05-20 15:30:00
26,BANKNIFTY21MAY34400PE,2021-05-27 11:28:00,34.35,Entry,2021-05-27 15:30:00
27,BANKNIFTY21MAY34400PE,2021-05-27 15:20:00,-0.25,Time,2021-05-27 15:30:00
28,BANKNIFTY2160335600CE,2021-06-03 13:25:00,48.25,Entry,2021-06-03 15:30:00
29,BANKNIFTY2160335500PE,2021-06-03 13:51:00,39.05,Entry,2021-06-03 15:30:00
30,BANKNIFTY2160335600CE,2021-06-03 13:54:00,-109.4,SL,2021-06-03 15:30:00
31,BANKNIFTY2160335500PE,2021-06-03 15:20:00,-0.25,Time,2021-06-03 15:30:00
32,BANKNIFTY2161034800PE,2021-06-10 13:20:00,39.8,Entry,2021-06-10 15:30:00
33,BANKNIFTY2161034800PE,2021-06-10 15:20:00,-0.25,Time,2021-06-10 15:30:00
34,BANKNIFTY2161734700PE,2021-06-17 10:42:00,56.15,Entry,2021-06-17 15:30:00
35,BANKNIFTY2161734900CE,2021-06-17 11:34:00,43.8,Entry,2021-06-17 15:30:00
36,BANKNIFTY2161734700PE,2021-06-17 14:15:00,-124.65,SL,2021-06-17 15:30:00
37,BANKNIFTY2161734900CE,2021-06-17 15:20:00,-0.15,Time,2021-06-17 15:30:00
38,BANKNIFTY21JUN34600PE,2021-06-24 12:13:00,43.0,Entry,2021-06-24 15:30:00
39,BANKNIFTY21JUN34800CE,2021-06-24 15:01:00,50.15,Entry,2021-06-24 15:30:00
40,BANKNIFTY21JUN34800CE,2021-06-24 15:20:00,-19.85,Time,2021-06-24 15:30:00
41,BANKNIFTY21JUN34600PE,2021-06-24 15:20:00,-0.55,Time,2021-06-24 15:30:00
42,BANKNIFTY2170134700PE,2021-07-01 12:37:00,35.5,Entry,2021-07-01 15:30:00
43,BANKNIFTY2170134800CE,2021-07-01 14:03:00,37.8,Entry,2021-07-01 15:30:00
44,BANKNIFTY2170134800CE,2021-07-01 15:20:00,-0.15,Time,2021-07-01 15:30:00
45,BANKNIFTY2170134700PE,2021-07-01 15:20:00,-23.5,Time,2021-07-01 15:30:00
46,BANKNIFTY2170835800CE,2021-07-08 11:44:00,46.1,Entry,2021-07-08 15:30:00
47,BANKNIFTY2170835800CE,2021-07-08 15:20:00,-0.25,Time,2021-07-08 15:30:00
48,BANKNIFTY2171535700PE,2021-07-15 10:41:00,43.85,Entry,2021-07-15 15:30:00
49,BANKNIFTY2171535700PE,2021-07-15 15:20:00,-0.2,Time,2021-07-15 15:30:00
50,BANKNIFTY2172234800PE,2021-07-22 10:36:00,40.8,Entry,2021-07-22 15:30:00
51,BANKNIFTY2172234900CE,2021-07-22 13:00:00,37.45,Entry,2021-07-22 15:30:00
52,BANKNIFTY2172234800PE,2021-07-22 14:20:00,-119.0,SL,2021-07-22 15:30:00
53,BANKNIFTY2172234900CE,2021-07-22 15:20:00,-0.2,Time,2021-07-22 15:30:00
54,BANKNIFTY21JUL34700CE,2021-07-29 12:16:00,48.3,Entry,2021-07-29 15:30:00
55,BANKNIFTY21JUL34600PE,2021-07-29 13:24:00,38.95,Entry,2021-07-29 15:30:00
56,BANKNIFTY21JUL34700CE,2021-07-29 13:37:00,-105.0,SL,2021-07-29 15:30:00
57,BANKNIFTY21JUL34600PE,2021-07-29 15:20:00,-0.25,Time,2021-07-29 15:30:00
58,BANKNIFTY2180535600PE,2021-08-05 09:38:00,39.6,Entry,2021-08-05 15:30:00
59,BANKNIFTY2180535600PE,2021-08-05 10:41:00,-96.95,SL,2021-08-05 15:30:00
60,BANKNIFTY2180535900CE,2021-08-05 11:33:00,44.0,Entry,2021-08-05 15:30:00
61,BANKNIFTY2180535900CE,2021-08-05 12:16:00,-91.0,SL,2021-08-05 15:30:00
62,BANKNIFTY2181235700PE,2021-08-12 10:02:00,42.0,Entry,2021-08-12 15:30:00
63,BANKNIFTY2181235900CE,2021-08-12 14:12:00,38.2,Entry,2021-08-12 15:30:00
64,BANKNIFTY2181235900CE,2021-08-12 15:20:00,-30.7,Time,2021-08-12 15:30:00
65,BANKNIFTY2181235700PE,2021-08-12 15:20:00,-0.15,Time,2021-08-12 15:30:00
66,BANKNIFTY2181836100CE,2021-08-18 10:50:00,50.35,Entry,2021-08-18 15:30:00
67,BANKNIFTY2181836100CE,2021-08-18 15:20:00,-0.35,Time,2021-08-18 15:30:00
68,BANKNIFTY21AUG35500PE,2021-08-26 11:32:00,48.3,Entry,2021-08-26 15:30:00
69,BANKNIFTY21AUG35600CE,2021-08-26 14:36:00,46.0,Entry,2021-08-26 15:30:00
70,BANKNIFTY21AUG35600CE,2021-08-26 15:20:00,-32.0,Time,2021-08-26 15:30:00
71,BANKNIFTY21AUG35500PE,2021-08-26 15:20:00,-0.2,Time,2021-08-26 15:30:00
72,BANKNIFTY2190236600PE,2021-09-02 11:16:00,47.55,Entry,2021-09-02 15:30:00
73,BANKNIFTY2190236600PE,2021-09-02 15:20:00,-0.3,Time,2021-09-02 15:30:00
